State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Sex_ratio,literacy_rate
Uttar Pradesh,Jyotiba Phule Nagar,28.87049898,78.39009365,137,1840221,963449,876772,983110,2825,91.00346775,53.42347468
Uttar Pradesh,Kannauj,26.99398862,79.6443794,160,1656616,881776,774840,1017087,2488,87.872657,61.39545918
Uttar Pradesh,Kanpur Dehat,26.43047641,79.98710083,163,1796184,963255,832929,1170243,2682,86.47024931,65.15162144
Uttar Pradesh,Kaushambi,25.53587532,81.41811282,174,1599596,838485,761111,813424,1503,90.77216647,50.85184009
Uttar Pradesh,Kushinagar,26.89253068,83.92261542,189,3564544,1818055,1746489,1954820,3486,96.06359544,54.84067527
Uttar Pradesh,Lalitpur,24.58877161,78.60082331,167,1221592,641011,580581,641191,1079,90.57270468,52.48814662
Uttar Pradesh,Lucknow,26.83823359,80.89706027,157,4589838,2394476,2195362,3127260,68506,91.68444369,68.13443089
Uttar Pradesh,Mahoba,25.3452967,79.67863003,169,875958,466358,409600,488106,1316,87.82952153,55.72253464
Uttar Pradesh,Mainpuri,27.17386862,79.03501851,148,1868529,993377,875152,1203885,2642,88.09867754,64.4295593
Uttar Pradesh,Mathura,27.59390433,77.62153417,145,2547184,1367125,1180059,1507746,8726,86.31683277,59.19266139
Uttar Pradesh,Mau,26.01082204,83.50582654,192,2205968,1114709,1091259,1363044,2656,97.89631195,61.78892894
Uttar Pradesh,Meerut,29.02957626,77.80611006,138,3443689,1825743,1617946,2141488,23717,88.61849669,62.18587102
Uttar Pradesh,Mirzapur,25.10207959,82.60126629,199,2496970,1312302,1184668,1428683,4447,90.27403753,57.2166666
Uttar Pradesh,Moradabad,28.85177041,78.73580193,135,4772006,2503186,2268820,2263848,11690,90.63729184,47.44017505
Uttar Pradesh,Muzaffarnagar,29.47050798,77.64017848,133,4143512,2193434,1950078,2417339,10077,88.90525085,58.34034027
Uttar Pradesh,Pilibhit,28.52024175,79.90103974,151,2031007,1072002,959005,1061095,2870,89.45925474,52.24477316
Uttar Pradesh,Pratapgarh,25.86484273,81.93530049,131,867848,437744,430104,401515,716,98.25468767,46.26559029
Uttar Pradesh,Pratapgarh,25.86484273,81.93530049,173,3209141,1606085,1603056,1931559,5149,99.81140475,60.1892843
Uttar Pradesh,Rae Bareli,26.25390284,81.22260463,158,3405559,1752542,1653017,1965843,5184,94.32110614,57.72453215
Uttar Pradesh,Rampur,28.83244727,79.10977333,136,2335819,1223889,1111930,1043666,3847,90.8521933,44.68094488
